year,age,gender,geography,befolkning
2004,65,M,Nordland,4850
2004,65,M,Nord-Trøndelag,2528
2004,65,M,Oppland,3896
2004,65,M,Oslo,7341
2004,65,M,Rogaland,6198
2004,65,M,Sogn og Fjordane,2111
2004,65,M,Sør-Trøndelag,4608
2004,65,M,Telemark,3219
2004,65,M,Troms,2846
2004,65,M,Vest-Agder,2834
2004,65,M,Vestfold,4320
2004,65,M,Østfold,5172
2004,70,F,Hele landet,83141
2004,70,F,Helseregion Midt-Norge,11962
2004,70,F,Helseregion Nord-Norge,8516
2004,70,F,Helseregion Sør-Øst,46762
2004,70,F,Helseregion Vest,15901
2004,70,F,Akershus,8401
2004,70,F,Aust-Agder,1799
2004,70,F,Buskerud,4556
2004,70,F,Finnmark,1278
2004,70,F,Hedmark,4194
2004,70,F,Hordaland,7904
2004,70,F,Møre og Romsdal,4732
2004,70,F,Nordland,4650
2004,70,F,Nord-Trøndelag,2418
2004,70,F,Oppland,3894
2004,70,F,Oslo,8410
2004,70,F,Rogaland,5970
2004,70,F,Sogn og Fjordane,2026
2004,70,F,Sør-Trøndelag,4811
2004,70,F,Telemark,3245
2004,70,F,Troms,2588
2004,70,F,Vest-Agder,2872
2004,70,F,Vestfold,4229
2004,70,F,Østfold,5162
2004,70,M,Hele landet,71489
2004,70,M,Helseregion Midt-Norge,10482
2004,70,M,Helseregion Nord-Norge,7685
2004,70,M,Helseregion Sør-Øst,39495
2004,70,M,Helseregion Vest,13826
2004,70,M,Akershus,7098
2004,70,M,Aust-Agder,1613
2004,70,M,Buskerud,3935
2004,70,M,Finnmark,1212
2004,70,M,Hedmark,3774
2004,70,M,Hordaland,6756
2004,70,M,Møre og Romsdal,4134
2004,70,M,Nordland,4142
2004,70,M,Nord-Trøndelag,2241
2004,70,M,Oppland,3504
2004,70,M,Oslo,6292
2004,70,M,Rogaland,5198
2004,70,M,Sogn og Fjordane,1872
2004,70,M,Sør-Trøndelag,4107
2004,70,M,Telemark,2775
2004,70,M,Troms,2331
2004,70,M,Vest-Agder,2494
2004,70,M,Vestfold,3646
2004,70,M,Østfold,4364
2004,75,F,Hele landet,81329
2004,75,F,Helseregion Midt-Norge,12068
2004,75,F,Helseregion Nord-Norge,8375
2004,75,F,Helseregion Sør-Øst,45726
2004,75,F,Helseregion Vest,15160
2004,75,F,Akershus,7497
2004,75,F,Aust-Agder,1740
2004,75,F,Buskerud,4433
2004,75,F,Finnmark,1173
2004,75,F,Hedmark,4375
2004,75,F,Hordaland,7564
2004,75,F,Møre og Romsdal,4822
2004,75,F,Nordland,4655
2004,75,F,Nord-Trøndelag,2458
2004,75,F,Oppland,4000
