drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2004,35,M,Østfold,14,1.401,9990,35026.199,4185.333
ADHD-midler,2004,40,F,Akershus,7,0.351,19936,14811.399,1848
ADHD-midler,2004,40,F,Aust-Agder,6,1.704,3522,86808,3315.583
ADHD-midler,2004,40,F,Buskerud,9,1.040,8652,55367.801,3453.667
ADHD-midler,2004,40,F,Finnmark,,,2516,,
ADHD-midler,2004,40,F,Hedmark,,,6370,,
ADHD-midler,2004,40,F,Hordaland,6,0.400,15000,28440.100,2528.667
ADHD-midler,2004,40,F,Møre og Romsdal,,,7816,,
ADHD-midler,2004,40,F,Nordland,,,8064,,
ADHD-midler,2004,40,F,Nord-Trøndelag,,,4195,,
ADHD-midler,2004,40,F,Oppland,0,0,0,0,0
ADHD-midler,2004,40,F,Oslo,10,0.539,18570,22281.100,3391.333
ADHD-midler,2004,40,F,Rogaland,7,0.511,13702,22184.100,2916
ADHD-midler,2004,40,F,Sogn og Fjordane,,,3448,,
ADHD-midler,2004,40,F,Sør-Trøndelag,5,0.533,9378,10677.900,1860
ADHD-midler,2004,40,F,Telemark,6,1.063,5644,24726.900,1511.833
